Hospital_Name,Hospital_Type,Address,contact,Specialities
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S14 - Plastic Surgery
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S15 - Poly Trauma
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),S17 - Prostheses
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M1 - Critical Care
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M2 - General Medicine
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M3 - Infectious Diseases
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M4 - Pediatrics
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M5 - Cardiology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M6 - Nephrology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M7 - Neurology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M8 - Pulmonology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M9 - Dermatology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M10 - Rheumatology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M11 - Endocrinology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M12 - Gastroenterology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M15 - Medical Oncology
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Government-Govt_Inst,"Yadadri, Bibinagar, -",Somarapu Saradha (9703950643),M16 - Radiation Oncology
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),S1 - General Surgery
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),S2 - Ent Surgery
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),S4 - Gynaecology And Obstetrics Surgery
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),S5 - Orthopedic Surgery And Procedures
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),S8 - Pediatric Surgeries
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),S9 - Genito Urinary Surgeries
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),S15 - Poly Trauma
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),M1 - Critical Care
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),M2 - General Medicine
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),M3 - Infectious Diseases
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),M4 - Pediatrics
AMRITHA TRINETHRA MULTI SPECIALITY HOSPITAL,Corporate,"Jagtial, Jagitial Rural, Jagtial",Sunke Shankar (9701074083),M6 - Nephrology
AMRUTHA TRUE LIFE HOSPITAL,Corporate,"Nizamabad, Bodhan, BODHAN",G Srinivas (9912633841),S5 - Orthopedic Surgery And Procedures
AMRUTHA TRUE LIFE HOSPITAL,Corporate,"Nizamabad, Bodhan, BODHAN",G Srinivas (9912633841),S15 - Poly Trauma
ANAND EYE INSTITUTE PVT LTD,Corporate,"Medchal, Uppal, GHMC",Shailaja D(9848516648),S3 - Ophthalmology Surgery
ANAND EYE INSTITUTE PVT LTD,Corporate,"Medchal, Uppal, GHMC",Gandipally.Kiran (9701914612),S3 - Ophthalmology Surgery
ANKAM HOSPITAL,Corporate,"Nizamabad, Nizamabad (North), NIZAMABAD",Swamy Peddi (7386452165),S5 - Orthopedic Surgery And Procedures
ANKAM HOSPITAL,Corporate,"Nizamabad, Nizamabad (North), NIZAMABAD",Swamy Peddi (7386452165),S15 - Poly Trauma
APARNA HOSPITAL,Corporate,"Nizamabad, Armur, ARMOOR",Gujja Rama Krishana (9440898447),S5 - Orthopedic Surgery And Procedures
APARNA HOSPITAL,Corporate,"Nizamabad, Armur, ARMOOR",Gujja Rama Krishana (9440898447),S9 - Genito Urinary Surgeries
APARNA HOSPITAL,Corporate,"Nizamabad, Armur, ARMOOR",Gujja Rama Krishana (9440898447),S9 - Genito Urinary Surgeries
APARNA HOSPITAL,Corporate,"Nizamabad, Armur, ARMOOR",Gujja Rama Krishana (9440898447),S15 - Poly Trauma
APARNA HOSPITAL,Corporate,"Nizamabad, Armur, ARMOOR",Gujja Rama Krishana (9440898447),M6 - Nephrology
APARNA HOSPITAL AND SCAN CENTRE,Corporate,"Nalgonda, Nalgonda, Nalgonda",V.Vara Laxmi (9885398585),S5 - Orthopedic Surgery And Procedures
APARNA HOSPITAL AND SCAN CENTRE,Corporate,"Nalgonda, Nalgonda, Nalgonda",V.Vara Laxmi (9885398585),S15 - Poly Trauma
APEX HOSPITALS,Corporate,"Medchal, Medipally, Perrzadiguda",G. Suman(9502328566),S1 - General Surgery
APEX HOSPITALS,Corporate,"Medchal, Medipally, Perrzadiguda",G. Suman(9502328566),S5 - Orthopedic Surgery And Procedures
APEX HOSPITALS,Corporate,"Medchal, Medipally, Perrzadiguda",G. Suman(9502328566),S9 - Genito Urinary Surgeries
APEX HOSPITALS,Corporate,"Medchal, Medipally, Perrzadiguda",G. Suman(9502328566),S14 - Plastic Surgery
APEX HOSPITALS,Corporate,"Medchal, Medipally, Perrzadiguda",G. Suman(9502328566),S15 - Poly Trauma
APEX HOSPITALS,Corporate,"Medchal, Medipally, Perrzadiguda",G. Suman(9502328566),M2 - General Medicine
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S1 - General Surgery
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S2 - Ent Surgery
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S3 - Ophthalmology Surgery
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S4 - Gynaecology And Obstetrics Surgery
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S5 - Orthopedic Surgery And Procedures
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S6 - Surgical Gastro Enterology
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S7 - Cardiac And Cardiothoracic Surgery
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S8 - Pediatric Surgeries
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S9 - Genito Urinary Surgeries
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S11 - Surgical Oncology
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),S15 - Poly Trauma
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M1 - Critical Care
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M2 - General Medicine
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M4 - Pediatrics
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M5 - Cardiology
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M6 - Nephrology
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M8 - Pulmonology
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M9 - Dermatology
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M12 - Gastroenterology
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M15 - Medical Oncology
APOLLO INSTITUTE OF MECDICAL SCIENCES AND RESEARCH,Corporate,"Hyderabad, Khairthabad, GHMC",Bagya Laxmi (9705465173),M16 - Radiation Oncology
APOLLO REACH NSR HOSPITALS A UNIT OF NSR HOSPITAL,Corporate,"Warangal, Warangal, Warangal",Sambari Rajesh (9618472774),S5 - Orthopedic Surgery And Procedures
APOLLO REACH NSR HOSPITALS A UNIT OF NSR HOSPITAL,Corporate,"Warangal, Warangal, Warangal",Sambari Rajesh (9618472774),S9 - Genito Urinary Surgeries
APOLLO REACH NSR HOSPITALS A UNIT OF NSR HOSPITAL,Corporate,"Warangal, Warangal, Warangal",Sambari Rajesh (9618472774),S15 - Poly Trauma
APOLLO REACH NSR HOSPITALS A UNIT OF NSR HOSPITAL,Corporate,"Warangal, Warangal, Warangal",Sambari Rajesh (9618472774),M5 - Cardiology
APOLLO REACH NSR HOSPITALS A UNIT OF NSR HOSPITAL,Corporate,"Warangal, Warangal, Warangal",Sambari Rajesh (9618472774),M6 - Nephrology
ARAVIND EYE HOSPITAL PRIVATE LIMITED,Corporate,"Hyderabad, Asifnagar, GHMC",Mohammed Ibrahim (9908571307),S3 - Ophthalmology Surgery
ARCHANA HOSPITALS PRIVATE LIMITED,Corporate,"Rangareddy, Serilingampalli, GHMC",Mohd.Shamshuddin (9948072191),S5 - Orthopedic Surgery And Procedures
ARCHANA HOSPITALS PRIVATE LIMITED,Corporate,"Rangareddy, Serilingampalli, GHMC",Mohd.Shamshuddin (9948072191),S7 - Cardiac And Cardiothoracic Surgery
ARCHANA HOSPITALS PRIVATE LIMITED,Corporate,"Rangareddy, Serilingampalli, GHMC",Mohd.Shamshuddin (9948072191),S9 - Genito Urinary Surgeries
ARCHANA HOSPITALS PRIVATE LIMITED,Corporate,"Rangareddy, Serilingampalli, GHMC",Mohd.Shamshuddin (9948072191),S15 - Poly Trauma
ARCHANA HOSPITALS PRIVATE LIMITED,Corporate,"Rangareddy, Serilingampalli, GHMC",Mohd.Shamshuddin (9948072191),M5 - Cardiology
ARCHANA HOSPITALS PRIVATE LIMITED,Corporate,"Rangareddy, Serilingampalli, GHMC",Mohd.Shamshuddin (9948072191),M6 - Nephrology
AROGYA HOSPITAL,Corporate,"Khammam, Khammam (Urban), KHAMMAM",P.Ramadevi (8688046716),S5 - Orthopedic Surgery And Procedures
AROGYA HOSPITAL,Corporate,"Khammam, Khammam (Urban), KHAMMAM",P.Ramadevi (8688046716),S15 - Poly Trauma
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S1 - General Surgery
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S2 - Ent Surgery
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S3 - Ophthalmology Surgery
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S4 - Gynaecology And Obstetrics Surgery
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S5 - Orthopedic Surgery And Procedures
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S6 - Surgical Gastro Enterology
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S7 - Cardiac And Cardiothoracic Surgery
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S8 - Pediatric Surgeries
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S9 - Genito Urinary Surgeries
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S10 - Neurosurgery
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S14 - Plastic Surgery
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),S15 - Poly Trauma
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M1 - Critical Care
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M2 - General Medicine
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M3 - Infectious Diseases
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M4 - Pediatrics
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M5 - Cardiology
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M6 - Nephrology
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M7 - Neurology
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M8 - Pulmonology
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M12 - Gastroenterology
ARUNDATHI HOSPITAL,Corporate,"Medchal, Dundigal Gandimaisamma, GHMC",S.Jeevan Rao (7386626049),M14 - Thalassemia
ASHWINI HOSPITAL,Corporate,"Rajanna, Yellareddipet, -",Yada Swapna (9642082781),S1 - General Surgery
ASHWINI HOSPITAL,Corporate,"Rajanna, Yellareddipet, -",Yada Swapna (9642082781),S3 - Ophthalmology Surgery
ASHWINI HOSPITAL,Corporate,"Rajanna, Yellareddipet, -",Yada Swapna (9642082781),S5 - Orthopedic Surgery And Procedures
ASHWINI HOSPITAL,Corporate,"Rajanna, Yellareddipet, -",Yada Swapna (9642082781),S9 - Genito Urinary Surgeries
ASHWINI HOSPITAL,Corporate,"Rajanna, Yellareddipet, -",Yada Swapna (9642082781),S15 - Poly Trauma
ASHWINI HOSPITAL,Corporate,"Rajanna, Yellareddipet, -",Yada Swapna (9642082781),M2 - General Medicine
AVS WELLNESS HOSPITALS,Corporate,"Hyderabad, Ameerpet, GHMC",Balaiah Balaiah(9912468601),S5 - Orthopedic Surgery And Procedures
AVS WELLNESS HOSPITALS,Corporate,"Hyderabad, Ameerpet, GHMC",Balaiah Balaiah(9912468601),S7 - Cardiac And Cardiothoracic Surgery
AVS WELLNESS HOSPITALS,Corporate,"Hyderabad, Ameerpet, GHMC",Balaiah Balaiah(9912468601),S9 - Genito Urinary Surgeries
AVS WELLNESS HOSPITALS,Corporate,"Hyderabad, Ameerpet, GHMC",Balaiah Balaiah(9912468601),S15 - Poly Trauma
AVS WELLNESS HOSPITALS,Corporate,"Hyderabad, Ameerpet, GHMC",Balaiah Balaiah(9912468601),M2 - General Medicine
AVS WELLNESS HOSPITALS,Corporate,"Hyderabad, Ameerpet, GHMC",Balaiah Balaiah(9912468601),M5 - Cardiology
Aarogyamatha Udumala Hospital,Corporate,"Jangaon, Jangaon, Jangaon",Naga Raju Mekala(9951431325),S3 - Ophthalmology Surgery
Aarogyamatha Udumala Hospital,Corporate,"Jangaon, Jangaon, Jangaon",Naga Raju Mekala(9951431325),S4 - Gynaecology And Obstetrics Surgery
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),S1 - General Surgery
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),S2 - Ent Surgery
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),S4 - Gynaecology And Obstetrics Surgery
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),S5 - Orthopedic Surgery And Procedures
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),S9 - Genito Urinary Surgeries
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),S15 - Poly Trauma
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),M2 - General Medicine
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),M4 - Pediatrics
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),M6 - Nephrology
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),M7 - Neurology
Adarsha Hospital,Corporate,"Karimnagar, Karimnagar, Karimnagar",Gurram Karunadevi (9666409646),M8 - Pulmonology
Alpha Super Speciality Hospital,Corporate,"Hyderabad, Charminar, GHMC",Kareemunnisa Begum (8464820013),S1 - General Surgery
Alpha Super Speciality Hospital,Corporate,"Hyderabad, Charminar, GHMC",Kareemunnisa Begum (8464820013),S3 - Ophthalmology Surgery
