Sr.No,KendraCode,Name,StateName,DistrictName,PinCode,Address
42,PMBJK03071,Muthyam Rakesh,Telangana,Mahabubabad,506315,"H No 5672 Beside Shanthi Theater Maripeda Banglow Dist Mahabubabad Maripeda, Mahabubabad"
43,PMBJK03104,Rajasekhar,Telangana,Narayanpet,509210,"11124Chowk Bazar Naraynpet (V) Narayanpet (M) Mahabub Nagar, Narayanpet"
44,PMBJK03456,Mr. Perkar Rajesh,Telangana,Medak,500030,"15-73/1/16, Rajendra Nagar, Medak"
45,PMBJK03531,Mr. Kunja Suresh,Telangana,Bhadradri Kothagudem,507123,"D.No. 2-5-92, Aam Bazar, Poolchand Street, Yellandu Bhadradri, Kothagudea, Telangana-507123, Bhadradri"
46,PMBJK03558,Mr. Gopu Ramana Reddy,Telangana,Medchal Malkajgiri,500047,"H.No..25-40/3/19, East Anandbagh, Malkajgiri,Secundrabad,Telangana, Malkajgiri"
47,PMBJK03591,Mr. Gopu Ramana Reddy,Telangana,Hyderabad,500047,"3-4-768/1, Opp. Geeta Clinic, Barkathpura,, Hyderabad"
48,PMBJK03628,"Mr. A. Baswaraj,""",Telangana,Mahabubnagar,509407,"5-352, Main Road,Makthal, Mahabubnagar"
49,PMBJK03860,Mr. Siliveri Bikshapathi,Telangana,Ranga Reddy,509216,"11-242/1 Shop No. 01, Ram Mandir Road, Bhavani Nagar Colony, Shadnagar, Rangareddy"
50,PMBJK04038,Gopu Hari Nadha Reddy,Telangana,Medchal Malkajgiri,500062,"H No.4-42, Maruthi Nagar, Malkajgiri,Secunderabad, Malkajgiri(V), Malkajgiri(M), Medchal, Malkajgiri"
51,PMBJK04039,Gopu Ramana Reddy,Telangana,Medchal Malkajgiri,500056,"D.No.35-66/1/Sh No. 2, Prashanthi Nilayam, Gk Colony, Neredmet, Medchal Malkajgiri"
52,PMBJK04105,Gopu Ramana Reddy,Telangana,Hyderabad,500015,"Echs Polyclinic, J 79 Medows, Trimulgherry, Hyderabad"
53,PMBJK04281,Mr. Gugulothu Raju,Telangana,Jangoan,506224,"H.No.6-64, Narmetta, Jangaon, Telangana-506224, Jangaon"
54,PMBJK04289,Mr. Sunkari Vikram,Telangana,Yadadri Bhuvanagiri,508116,"H.No.11-56, Kranthi Nagar, Aler, Near Railway Station,
,Yadadri Bhuvanagiri ,Telangana, Yadadri Bhuvanagiri"
55,PMBJK04298,Mr. Chilukamari Srinivas,Telangana,Mahabubabad,506134,"19-70/B, Nekkonda Road, Gudur, Mahabubabad, Telangana-506134, Mahabubabad"
56,PMBJK04525,Mr. Bajireddy Harikrishna,Telangana,Jagitial,505331,"H.No.8-80, Near Ambedkar Statchu,, Jagtial"
57,PMBJK04526,Mr. Gummadi Sudharshan Goud,Telangana,Nirmal,504103,"H.No.4-3-70/B/28, Shop No. 18, Vinayak Nagar Colony, Opposite To Ice Factory,, Nirmal"
58,PMBJK04728,Mr. Boppudi Hemanth Chowdary,Telangana,Mancherial,504208,"D.No. 4-509, Cellar, Shop No. 2, Kinnera Complex, Station Road, Mancherial , Telangana-504208, Mancherial"
59,PMBJK04859,Mr. Edgi Rajender,Telangana,Mahabubnagar,509337,"6-13, Mohammadabad, Gandid, Mahabubnagar, Telangana, Mahabubnagar"
60,PMBJK04872,Mr. Bommera Boina Rajkumar,Telangana,Warangal,506331,"H.No. 4-108, Girnibhavi Village, Duggondi Mandal, Mandapalle, Duggondi, Warangal Rural, Telangana, Warangal Rural"
61,PMBJK04873,Mr. Thakur Rohit Singh,Telangana,Vikarabad,501101,"2-2-254/1A, Shanti Nagar Colony, Sai Pur Road, Vikarabad, Telangana, Vikarabad"
62,PMBJK05021,Mr. Karre Bharath Kumar,Telangana,Warangal,null,"1-293, Angadi Road,Narsampet, Warangal, Telangana, Warangal Rural"
63,PMBJK05022,Mr. G.Yadagiri,Telangana,Ranga Reddy,null,"H.No. 8-92, Shop No.1, Ranga Reddy, Kandakur, Telangana, Rangareddy"
64,PMBJK05045,Anigathala Venkatanarayana & Petnhala Rani,Telangana,Warangal,506132,"2-93, Khanapur Village And Mandal, Warangal Rural, Khanapur(V), Khanapur(M), Warangal Rural Dist., Warangal Rural"
65,PMBJK05102,Mrs. Banothu Anjali,Telangana,Jangoan,506167,"H.No.3-11-3, Near Jangaon Railway Station, Jangaon, Telangana-506167, Jangaon"
66,PMBJK05167,Mr. Kudikal Ramesh,Telangana,Warangal,506630,"2-117, Gavicherla, Sangam Mandal, Warangal, Telangana, Warangal Rural"
67,PMBJK05168,Mr. Mandha Raju,Telangana,Warangal,506002,"D.No. 1-61/A, Gangadevipally, Geesugonda, Warangal, Telangana, Warangal Rural"
68,PMBJK05337,Mr. Gajelli Bhuvana,Telangana,Bhadradri Kothagudem,507101,"9-4-48/1, Shutter No.3, Ground Floor, Mathura Basti,Near Post Office Area, Kothagudem,Bhadradri Tela, Bhadradri"
69,PMBJK05338,Mr. Mohammad Shabber,Telangana,Jangoan,506167,"D.No. 1-10, Vill- Veldanda, Narmetta, Jangaon, Telangana, Jangaon"
70,PMBJK05341,Mr. Angala Dhasma Raj Goud,Telangana,Adilabad,504001,"Adilabad (Urban) (M), Adilabad(Dist.)"", Adilabad"
71,PMBJK05485,Mr. G. Gopal Reddy,Telangana,Khammam,507203,"D.No. 12-13, Chnc Hospital, Madihara, Khammam, Telangana-507203, Khammam"
72,PMBJK05564,Miss. Parachaki Padmavathi,Telangana,Kumuram Bheem Asifabad,504293,"13-144/13, Bapu Nagar, Asifabad, Market Area, Kumarbheem, Telangana-504293, Komaram Bheem"
73,PMBJK05616,Mrs. Gudimalla Nandini,Telangana,Nirmal,504203,"D.No.5-35/8, Shop No.8, Near New Bus Stand, Padmavathi Nagar, Khanapur, Nirmal, Telangana, Nirmal"
74,PMBJK05673,Mrs. Desham Sravanthi,Telangana,Nizamabad,503001,"H.No :5-9-50, Ground Floor , Beside Vijay Theatre, Police Line ,Yellammagutta,, Nizamabad"
75,PMBJK05698,Mr. Gopala Krishna,Telangana,Vikarabad,501101,"1-1/6/5, Shop No. 5, Ground Floor, Lahoti Complex, Yadgiri Road, Kondakonal, Vikarabad, Telangana, Vikarabad"
76,PMBJK05764,Mr. Polepaka Arun Kumar,Telangana,Warangal,506349,"Hno-12-29, Nallabelly(V), Nallabelli(M), Warangal Rural, Telangana, Warangal Rural"
77,PMBJK06140,Gopu Ramana Reddy,Telangana,Hyderabad,500082,"Municipal No 6-3-456/23/12, Panjagutta Market Main Road, Near Nims Hospital, Hyderabad"
78,PMBJK06241,Gopu Ramana Reddy,Telangana,Hyderabad,500061,"11-2-196 And 197/1, Mylargadda, Chilkalaguda, Hyderabad"
79,PMBJK06245,Mr. Chegonda Shekhar,Telangana,Peddapalli,505184,"D.No- 8-41, Shutter No-1, Gf, Near Laxxmi Narasimha Swamy Temple, Govt Hospital Road, Peddapalli"
80,PMBJK06334,S. Venkatesham,Telangana,Ranga Reddy,509216,"7-1-Su0001, Suleman Colony Shadnagar, Rangareddy"
81,PMBJK06479,Mrs. Jyothsna,Telangana,Sangareddy,502001,"D.No.12-86, Mig-42, Phase 2, Pothreddipally, Sangareddy"
82,PMBJK06582,M.Vinod Kumar,Telangana,Wanaparthy,509103,"D.No.38-27,Near Andhra Bank, Wanaparthy"
83,PMBJK06604,Arun Kumar K,Telangana,Mancherial,null,"7-1-37/2,Bazar Road,Bellampalli, Mancherial"
84,PMBJK06621,G.Naresh,Telangana,Adilabad,504001,"D.No.4-5-56/C/1,Vidyanagar, Near Bus Stand,, Adilabad"
85,PMBJK06700,M. Santhosh Kumar,Telangana,Ranga Reddy,500070,"D.No- 5-4-308/1, Shop No-2, Gf, Kamala Nagar, Opp- Hmda Park, Vanasthalipuram, Hayathnagar Mandal,, Rangareddy"
86,PMBJK06775,T.Vijay Kumar,Telangana,Mancherial,504231,"41-153, Old Bus Stand, Mancherial"
87,PMBJK06800,M.Santhosh Kumar;B.Venkateshwar,Telangana,Ranga Reddy,500070,"D.No:- 5-4-308/1, Shop No-2, Groundfloor, Kamalanagar, Opp- Hmda Park,Vanasthalipuram, Sahebnagar Ka, Rangareddy"
88,PMBJK06801,Miss.Y.Nandini,Telangana,Jayashankar Bhupalapally,505503,"D-No:12-62,Main
Road,Garepalli,Kataram,Jayashankar(Dist), Jayashankar Bhupalapally"
89,PMBJK06802,P.Vijay Kumar,Telangana,Nirmal,504106,"5-11-
68/2/1,Chintakuntawada,Nirmal(Vill)(Mndl),Nirmal(Dist), Nirmal"
90,PMBJK06803,A.Srilatha,Telangana,Peddapalli,505185,"Shop No-18,Civil Hospital Complex,Court Road,Sultanabad,Peddapalli, Peddapalli"
91,PMBJK06831,G.Prasad,Telangana,Jangoan,506143,"D.No:1-16/1,Ghanpur Station(Viil)(Mandl),Janagoan, Jangaon"
92,PMBJK07024,G K Prasad,Telangana,Nizamabad,503235,"3-23/4, Shop No-2, Near Basar-X- Road, Satapur(Vill), Renjal(Mndl), Nizamabad"
93,PMBJK07025,K.Suman,Telangana,Mancherial,504201,"D.No:3-111, Market Road, Ambedkar Chowk, Chennur(V/M), Mancherial"
94,PMBJK07067,P.Chandra Sekhar,Telangana,Ranga Reddy,500005,"D.No- 5-13, Shop No.1, Ground Floor, Sriram Colony, Jalpally(Viil), Rangareddy"
95,PMBJK07068,B. Manoj Kumar,Telangana,Jagitial,505327,"1-1-103/2/2/2, Shutter No-1, Gf, Near Sbi Bank, By Pass Road, Mahalakshmi Nagar, Jagtial"
96,PMBJK07167,Mohammed Taufeeq,Telangana,Hyderabad,500008,"9-4-57/12/7, Gf, Shop No-1, Tolichowki (Viil), Mehdipatnam (Mndl), Hyderabad"
97,PMBJK07342,G.Ravinder,Telangana,Ranga Reddy,500091,"6-115/4, Sy No-85/P, Vishal Nagar Colony, Hydershakote Road, Bandlaguda Jagir(V), Rangareddy"
98,PMBJK07427,B.Tarachand Naik,Telangana,Nizamabad,503175,"6-73/21/2,Shop No-2, Hyd Main Road, Nadepalle(V), Nizamabad"
99,PMBJK07489,K. Chandrakala,Telangana,Ranga Reddy,500059,"11-98, Badangpet Road, Meerpet Corporation, Balapur(Mndl), Rangareddy"
100,PMBJK07490,M. Lalitha,Telangana,Ranga Reddy,500048,"3-5-124/2, Shop No-3, Gf, Near Hanuman Temple,Attapur(Vill), Hyderguda Road, Rajendra Nagar(Mndl), Rangareddy"
101,PMBJK07491,T. Partha Sarathi Reddy,Telangana,Adilabad,504304,"5-32/2, Near Bustand, Boath (Viil, Mndl), Adilabad"
102,PMBJK07546,Mrs. Sevella Sailaja,Telangana,Hyderabad,500001,"5-4-292, Shop No-77 &78, Near Arogya Hospital, Mj Market, Abids, Khairatabad, Hyderabad, Hyderabad"
103,PMBJK07766,Limbagiri. Sampath Kumar,Telangana,Nizamabad,503001,"10-9-177, Ground Floor, Beside Valmiki Hanuman Temple , Varni -X-Road,, Nizamabad"
104,PMBJK07872,Rajitha Kattkum,Telangana,Hyderabad,500013,"H.No.2-2-1075/B, Ramalayam Street, 6 No Bagh, Amberpet( Vill,Mndl), Hyderabad"
105,PMBJK07891,Gopu Ramana Reddy,Telangana,Siddipet,502278,"H.No: 7-119, Pidiched Road, Siddipet"
106,PMBJK07892,Syed Khaleeq Ur Rahman,Telangana,Hyderabad,500003,"D. No. 1-3-306/2, Madina Colony, Falaknuma, Hyderabad"
107,PMBJK07995,Gopu Ramana Reddy,Telangana,Hyderabad,500010,"H.No.2-4-115/4, Ground Floor, Hanuman Tekdi, Macha Bollaram, Medchal"
108,PMBJK08305,Gopu Ramana Reddy,Telangana,Hyderabad,500072,"Shop No.2, Road No.4, Mig-316, Doctors Lane, Kphb, Kukatpally, Malkajgiri"
109,PMBJK08314,Rajeshwar Goud,Telangana,Adilabad,504001,"D.No:6-5-52/1,Nethaji Chowk, Adilabad"
110,PMBJK08315,N. Ganghadhar Yadav,Telangana,Ranga Reddy,509216,"D No:5-187/2/1, Shop No.1 T.Anjaiah Colony, Keshampet Road, Shad Nagar, Rangareddy"
111,PMBJK08354,Nyalam Srikanth,Telangana,Vikarabad,501101,"H.No:4-673/4/3, Ground Floor Shop No:1 And Opp- Reliance Trends Allampally Road, Vikarabad"
112,PMBJK08496,Annapurna Kura,Telangana,Ranga Reddy,500070,"D.No.6-3-2293/787/Nr, C-787, Ngos Colony, Vanasthalipuram, Rangareddy"
113,PMBJK08509,Kethavath Santosh,Telangana,Ranga Reddy,500079,"H.No:8-7-92/A/193/A/1Nr, Shop No:2, Ground Floor, Anupama Nagar Colony, Rangareddy"
114,PMBJK08520,Padma Lakkam,Telangana,Peddapalli,505209,"D.No. 21-1-72/3/2/A/1, Shutter No. 1, Sharada Nagar Beside Govt. Area Hospital, Godavarikhani, Janga, Peddapalli"
115,PMBJK08539,Kokala Venkatesh,Telangana,Hyderabad,500045,"H.No:8-3-228/678/700, Ground Floor Shop No. 2, Karmika Nagar, Yousufguda, Vengalrao Nagar, Hyderabad"
116,PMBJK08593,Dr. Karunakar Reddy (Managing Partner Swashodhan ),Telangana,Ranga Reddy,501359,"H. No. 2-30, Sr Nagar, Chippalapalle, Rangareddy"
117,PMBJK08655,Gunde Sangeetha,Telangana,Medchal Malkajgiri,500072,"H. No. 15-21-1/M 110/2, New Balaji Nagar Opposite Vijaya Durga Tiffin, Malkajgiri"
118,PMBJK08661,A. Lalitha,Telangana,Mahabubnagar,509001,"D. No. 4-4-31, Brahman Wadi, Mahabubnagar"
119,PMBJK08677,Gopu Ramana Reddy,Telangana,Hyderabad,500003,"Echs Poly Clinic, Golden Palm Sainik Bhavan, Near Monda Market, Hyderabad"
120,PMBJK08832,Vydya Naresh,Telangana,Jagitial,505327,"2-4-192, Ground Floor, Opp Gajula Shankaraiah Shop, Ram Bazar, Jagtial"
121,PMBJK08842,Aleti Sanil Reddy,Telangana,Adilabad,504307,"D. No. 8-34/10, Bazarhathnoor Road, Adilabad"
122,PMBJK09174,Vajigi Avinash,Telangana,Kumuram Bheem Asifabad,504296,"D.No.1-16-247/2, Ground Floor, Shop No. 2, Shutter Facing East, Sri Laxmi Nursing Home Road, Komaram Bheem"
123,PMBJK09175,Gopu Ramana Reddy,Telangana,Medchal,500087,"Shop No. 2, D. No. 4-316, Mohanrao Colony,"
,,,,Malkajgiri,,"Jawaharnagar, Balaji Nagar, Malkajgiri"
124,PMBJK09310,Thungapindi Rajesh Kumar,Telangana,Mancherial,504215,"D. No. 2-6-5, Main Road, Beet Bazar, Utukar, Mancherial"
125,PMBJK09360,T. Vijay Kumar,Telangana,Kumuram Bheem Asifabad,504296,"D.No. 1-5-1, Bhagath Singh Colony, Komaram Bheem"
126,PMBJK09401,Jayanath Sridhar,Telangana,Medchal Malkajgiri,500018,"H.No. 13-9-1/3/65/1, Gf, Shop No. 2, Radhakrishna Nagar, Borabanda, Malkajgiri"
127,PMBJK09441,Vijay Ramesh Gajengi,Telangana,Jagitial,505460,"D.No.11-89, Ground Floor, Opp Bharath Gas Gandhi Chowk, Jagitial"
128,PMBJK09442,Dendukuri Chandrima,Telangana,Medchal Malkajgiri,500003,"H.No. 5-1-68/Nr, Shop No. 1, 1St Floor, Main Road, Kukatpally, Malkajgiri"
129,PMBJK09524,Dasoju Swapna,Telangana,Suryapet,508206,"10-111/1, Azad Nagar, Suryapet"
130,PMBJK09526,K. Usharani,Telangana,Medchal Malkajgiri,500083,"H.No. 3-1072, Shop No. 4, Gf, Ayyappa, Colony, Dammaiguda, Malkajgiri"
131,PMBJK09536,Kolipaka Balaraju,Telangana,Medchal Malkajgiri,500040,"D.No. 42-1012, Backside Govt Unani Hospital, Aphb Colony, Prashant Nagar, Meerpet, Malkajgiri"
132,PMBJK09554,Padi Srinija,Telangana,Jayashankar Bhupalapally,506168,"H.No. 2-95, Gorlavedu, Jayashankar Bhupalapally"
133,PMBJK09559,Gopu Ramana Reddy,Telangana,Sangareddy,502319,"D.No. 2-192, Gokul Nagar, Near Market Road, Sangareddy"
134,PMBJK09667,Epuri Kalpana,Telangana,Medchal Malkajgiri,500013,"H. No3-16-91/B/1/Nr, Ground Floor Nehru Nagar, Ramanthapur, Malkajgiri"
135,PMBJK09713,M. Aruna Kumari,Telangana,Medchal Malkajgiri,500039,"D. No. 5-3-16/1/A, Shop No. 2, Gf Street No. 2, Annapurna Colony, Boduppal, Malkajgiri"
136,PMBJK09759,Sayyada Raheema Ahmed,Telangana,Hyderabad,500005,"D.No. 18-13-8/Mn/127/B, Shop No. 1, Near Masjid-E- Maaz, Millat Nagar, Chandrayangutta, Hyderabad"
137,PMBJK09773,Gopu Ramana Reddy,Telangana,Medchal Malkajgiri,500010,"D.No.5-657, Plot No. 7, Sree Nagar Colony, Near Vbr Gardens, Old Alwal, Malkajgiri"
138,PMBJK09774,Gopu Ramana Reddy,Telangana,Medchal Malkajgiri,500015,"Shop No. 1, H.No. 1-24-551/Nr, Marurthi Nagar, Lothkunta, Malkajgiri"
139,PMBJK09775,Gopu Ramana Reddy,Telangana,Hyderabad,500361,"Shop No. 1, D.No. 11-3-664/393, Sanjeevapuram, Parsigutta, Hyderabad"
140,PMBJK09795,Lasya Marupudi,Telangana,Medchal Malkajgiri,500072,"Sy No. 165,165, Plot No.42/1, Shop No.4, Ground Floor, Sarvodaya Apts, Usha Mullapadi Road, Malkajgiri"
141,PMBJK09796,Gopu Ramana Reddy (President Of Organisation For P,Telangana,Sangareddy,500037,"Shop No. 3, D.No. 4-20, Road No.1, Sangareddy"
142,PMBJK09797,Gopu Ramana Reddy (President Of Organisation For P,Telangana,Medchal Malkajgiri,500037,"15-31-Rtp-Ch2, Club House 2, Rain Tree Park, Kukatpally, Malkajgiri"
143,PMBJK09804,D. Krishna,Telangana,Sangareddy,502319,"Area Hospital, Sangareddy"
144,PMBJK09829,Chippakurthi Venkatesham,Telangana,Mancherial,502408,"D. No. 18-649, Cellar Shop No. 5, Mukharam Plaza, Ib Chowrasta, Garmilla, Mancherial"
145,PMBJK09856,Gopu Ramana Reddy (President Of Organisation For P,Telangana,Medchal Malkajgiri,500062,"Shop No. 4, D.No. 1-4-220/1/1/Nr, Ground Floor, Netaji Nagar, Kapra, Malkajgiri"
146,PMBJK09967,R V Gayathri Devi,Telangana,Hyderabad,500018,"D.No.8-4-422/1, Shop No. 5, Sri Mahankali Sai Siva Hanuman Devasthanam, Prem Nagar, Erragadda, Venga, Hyderabad"
147,PMBJK10010,Neeli Yashwanth Sai,Telangana,Nizamabad,503230,"Door No.8-55, Shop No. 1 &2, Interconnected, G.F, Opp."
,,,,,,"Abhaya Veera Hunuman Temple, Arya Nagar, Nizamabad"
148,PMBJK10143,Gopu Ramana Reddy,Telangana,Medchal Malkajgiri,500087,"Army College Of Dental Sciences Premises, D. No. 15- 2/1, Chennapur, Crpf Road, Jai Jawahar Nagar, Medchal Malkajgiri"
149,PMBJK10187,Bijvar Manjula,Telangana,Ranga Reddy,509228,"H. No. 3, Parepally Complex, First Floor, Beside Muthoot Finance, Kothur Village, Kothur Mandal, Rangareddy"
150,PMBJK10210,Gopu Ramana Reddy President Of Organisation For P,Telangana,Medchal Malkajgiri,500047,"D No. 19-115, Shop No. 2, G/F, Gautham Nagar, Malkajgiri"
151,PMBJK10375,Gopu Ramana Reddy,Telangana,Jogulamba Gadwal,509375,"H. No. 3-63, Ghattu Village Post, Ghattu Manda, Jogulamba Gadwal"
152,PMBJK10848,Kalva Tejaswini,Telangana,Ranga Reddy,501511,"H No.4-52/11/B, Ground Floor, Shop No. 02, Road No. 01, Yadagiri Nagar Colony, Munganoor, Rangareddy"
153,PMBJK10942,Usha Rani Bandari,Telangana,Medchal Malkajgiri,500037,"28-30, Shop No.1, Gandhi Nagar, Near Hanuman Temple, Chintal, Hmt Township, Quthbullapur Mandal, Malkajgiri"
154,PMBJK10946,Srinivasa Rao Bejugam,Telangana,Sangareddy,502001,"D.No.4-8-92/1/2, Ground Floor, Shop No.1 And 2, Opp Iti College, Ahmed Nagar, Sangareddy"
155,PMBJK11162,Adav Kaushik Kumar,Telangana,Adilabad,504346,"D.No.8-26,Ground Floor,First Portion,Shetter No.1, Adilabad"
156,PMBJK11201,Domala Sneha,Telangana,Nizamabad,503224,"Door No. 1-1-29/13, Shop No. G-118, Single Room, G/F
R.K. Complex, Near Bus Stand, Armoor, Nizamabad"
157,PMBJK11234,Hanmaneni Sujatha,Telangana,Medchal Malkajgiri,500015,"D.No.1-29-33/A,Shop No.1,Ground Floor, Subash Nagar, Alwal, Alwal(V), Alwal(M), Medchal Malkajgiri"
158,PMBJK11238,Swapna Nandini,Telangana,Ranga Reddy,500049,"Eswaraiah Nilayam, H. No. 4-1356/2, Shop No. 2, Marthanda Nagar, New Hafeespet, Miyapur, Serilingama, Ranga Reddy"
